autorinnenname,land,wohnort,titel,eingeladen_von,teilnahmejahr,geburtsjahr,geschlecht,vorgetragen_am,preis_gewonnen,wikipedia,webseite
Michael Fehr,Schweiz,Bern,Simeliberg (Romanauszug),Juri Steiner,06072014,01071982,m,Freitag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4665/index.html"
Romana Ganzoni,Schweiz,Celerina,Ignis Cool,Hildegard E. Keller,06072014,18041967,w,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4656/index.html"
Katharina Gericke,Deutschland,Berlin,DOWN DOWN DOWN To The Queen Of Chinatown,Burkhard Spinnen,06072014,04041966,w,Samstag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4653/index.html"
Tex Rubinowitz,"Österreich, Deutschland",Wien,Wir waren niemals hier,Daniela Strigl,06072014,05121961,m,Samstag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4632/index.html"
Georg Petz,Österreich,Graz,Millefleurs,Hildegard E. Keller,06072014,21121977,m,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4641/index.html"
Larissa Boehning,Deutschland,Berlin,Zucker,Meike Feßmann,07072013,25081971,w,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4297/index.html"
Joachim Meyerhoff,Deutschland,Wien,Ich brauche das Buch,Hildegard E. Keller,07072013,01071967,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4273/index.html"
Nadine Kegele,Österreich,Wien,Scherben schlucken,Burkhard Spinnen,07072013,01071980,w,Donnerstag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4282/index.html"
Verena Güntner,Deutschland,Berlin,Es bringen (Romanauszug),Paul Jandl,07072013,01071978,w,Donnerstag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4288/index.html"
Anousch Mueller,Deutschland,Berlin,Falunrot,Meike Feßmann,07072013,08121979,w,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4270/index.html"
Zé do Rock,Brasilien,München,"Gott is Brasilianer, Jesus anscheinend auch",Burkhard Spinnen,07072013,03061956,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4263/index.html"
Cordula Simon,Österreich,Odessa,Ostrov Mogila (Romanauszug),Daniela Strigl,07072013,27031986,w,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4257/index.html"
Heinz Helle,Deutschland,"Biel/Bienne",Wir sind schön,Daniela Strigl,07072013,15101978,m,Freitag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4285/index.html"
