autorinnenname,land,wohnort,titel,eingeladen_von,teilnahmejahr,geburtsjahr,geschlecht,vorgetragen_am,preis_gewonnen,wikipedia,webseite
Annette Pehnt,Deutschland,Freiburg,Insel Vierunddreißig,Burkhard Spinnen,30062002,25071967,w,Freitag,True,True,"http://archiv.bachmannpreis.orf.at/bp2002/"
Elfriede Kern,Österreich,Linz,Tabula rasa,Konstanze Fliedl,30062002,20071950,w,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/bp2002/"
Helga Glantschnig,Österreich,Wien,Verschollen,Konstanze Fliedl,30062002,14031958,w,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/bp2002/"
Melanie Arns,Deutschland,Leipzig,"Heul doch!",Birgit Vanderbeke,30062002,19021980,w,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/bp2002/"
Raphael Urweider,Schweiz,Bern,Steine,Pia Reinacher,30062002,05111974,m,Samstag,True,True,"http://archiv.bachmannpreis.orf.at/bp2002/"
Ludwig Laher,Österreich,"St. Pantaleon",Fluchtanstalt,Konstanze Fliedl,01072001,11121955,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at//index2001.htm"
Heiner Link,Deutschland,München,Mütter und Fahrzeuge,Robert Schindel,01072001,05021960,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at//index2001.htm"
Antje Rávic Strubel,Deutschland,"Berlin, Potsdam",Das Märchen von der selbstgewählten Entführung,Denis Scheck,01072001,12041974,w,Donnerstag,True,True,"http://archiv.bachmannpreis.orf.at//index2001.htm"
Norbert Müller,Deutschland,Berlin,Lustig in die Welt hinein (Romanauszug),Birgit Vanderbeke,01072001,16031963,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at//index2001.htm"
Ute-Christine Krupp,Deutschland,"Köln, Berlin",Köln-Tokio,Elisabeth Bronfen,01072001,01071962,w,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at//index2001.htm"
Brigitte Schär,Schweiz,Zürich,Bloss ein Wintertag,Thomas Widmer,01072001,01021958,w,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at//index2001.htm"
Michael Lentz,Deutschland,München,Muttersterben,Burkhart Spinnen,01072001,15051964,m,Freitag,True,True,"http://archiv.bachmannpreis.orf.at//index2001.htm"
Annegret Held,Deutschland,Frankfurt/Main,Hesters Traum,Robert Schindel,01072001,25041962,w,Freitag,False,True,"http://archiv.bachmannpreis.orf.at//index2001.htm"
Tanja Langer,Deutschland,Berlin,Der Morphinist (Auszug),Elisabeth Bronfen,01072001,10091962,w,Freitag,False,True,"http://archiv.bachmannpreis.orf.at//index2001.htm"
Robert Fischer,Deutschland,München,"Sex kills. Eine griechische Affäre",Elisabeth Bronfen,01072001,01071960,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at//index2001.htm"
Jenny Erpenbeck,Deutschland,"Berlin, Kumberg",Sibirien,Konstanze Fliedl,01072001,12031967,w,Freitag,True,True,"http://archiv.bachmannpreis.orf.at//index2001.htm"
Ulrich Schlotmann,Deutschland,Berlin,Die Freuden der Jagd (Auszug),Denis Scheck,01072001,11081962,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at//index2001.htm"
Katrin Askan,Deutschland,Köln,Landläufig,Konstanze Fliedl,01072001,21021966,w,Samstag,True,True,"http://archiv.bachmannpreis.orf.at//index2001.htm"
Artur Becker,Deutschland,"Verden/Aller","Onkel Jimmy, die Indianer und ich",Birgit Vanderbeke,01072001,07051968,m,Samstag,False,True,"http://archiv.bachmannpreis.orf.at//index2001.htm"
Philipp Tingler,Deutschland,Zürich,Umgang mit Konflikten,Thomas Widmer,01072001,01071970,m,Samstag,False,True,"http://archiv.bachmannpreis.orf.at//index2001.htm"
Rainer Merkel,Deutschland,Berlin,Romanauszug,Burkhard Spinnen,01072001,26051964,m,Samstag,False,True,"http://archiv.bachmannpreis.orf.at//index2001.htm"
David Wagner,Deutschland,Berlin,Wasserschaden,"-",02072000,17041971,m,Donnerstag,True,True,"http://archiv.bachmannpreis.orf.at/bp_2000/autoren/fs_autoren.html"
Daniel Goetsch,Schweiz,Zürich,Hochdruck im Flachland,"-",02072000,20091968,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bp_2000/autoren/fs_autoren.html"
Julia Franck,Deutschland,Berlin,"Mir nichts, dir nichts","-",02072000,20021970,w,Donnerstag,True,True,"http://archiv.bachmannpreis.orf.at/bp_2000/autoren/fs_autoren.html"
Malin Schwerdtfeger,Deutschland,Berlin,Fell und Federn,"-",02072000,27121972,w,Donnerstag,True,True,"http://archiv.bachmannpreis.orf.at/bp_2000/autoren/fs_autoren.html"
Birgit Müller-Wieland,Deutschland,Berlin,Der Glückliche,"-",02072000,13091962,w,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bp_2000/autoren/fs_autoren.html"
Stephan Alfare,Österreich,Wien,Karl Heinz Zizala hat Krebs (Romanauszug),"-",02072000,28011966,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bp_2000/autoren/fs_autoren.html"
Georg Klein,Deutschland,Heinitzpolder,Auszug aus einem langen Prosatext,"-",02072000,29031953,m,Freitag,True,True,"http://archiv.bachmannpreis.orf.at/bp_2000/autoren/fs_autoren.html"
Birgit Kempker,Deutschland,Basel,Was hab ich in Meppen zu suchen,"-",02072000,28051956,w,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bp_2000/autoren/fs_autoren.html"
Martin Amanshauser,Österreich,Wien,El Examen,"-",02072000,01071968,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bp_2000/autoren/fs_autoren.html"
Andreas Maier,Deutschland,Bad Nauheim,Diagnosestunde (Romanauszug),"-",02072000,01091967,m,Freitag,True,True,"http://archiv.bachmannpreis.orf.at/bp_2000/autoren/fs_autoren.html"
Martina Kieninger,Deutschland,Montevideo (Uruguay),Die Leidensblume von Nattersheim,"-",02072000,01071966,w,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bp_2000/autoren/fs_autoren.html"
Georg M. Oswald,Deutschland,München,Wellness,"-",02072000,05081963,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bp_2000/autoren/fs_autoren.html"
Susanne Riedel,Deutschland,Berlin,Knoten (Romanauszug),"-",02072000,13051959,w,Samstag,True,True,"http://archiv.bachmannpreis.orf.at/bp_2000/autoren/fs_autoren.html"
Stephan Reimertz,Deutschland,Wien,Papiergewicht (Romanauszug),"-",02072000,04031962,m,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/bp_2000/autoren/fs_autoren.html"
Patrick Kokontis,Schweiz,Seon,Entgleisungen (Auszug),"-",02072000,04091964,m,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/bp_2000/autoren/fs_autoren.html"
Ulrike Draesner,Deutschland,Berlin,"Lück (Romanauszug)","-",02072000,20011962,w,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/bp_2000/autoren/fs_autoren.html"
Katharina Hacker,Deutschland,Berlin,Tage,eingeladen_von,27061999,11011967,w,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bp99/fs_autoren.html"
Thomas Kapielski,Deutschland,Berlin,Baden-Baden,eingeladen_von,27061999,16091951,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bp99/fs_autoren.html"
Patricia Görg,Deutschland,Berlin,Glücksspagat,eingeladen_von,27061999,21031960,m,Donnerstag,True,True,"http://archiv.bachmannpreis.orf.at/bp99/fs_autoren.html"
Christian Uetz,Schweiz,Langenthal,Hirnhelle Heroine,eingeladen_von,27061999,08081963,m,Donnerstag,True,True,"http://archiv.bachmannpreis.orf.at/bp99/fs_autoren.html"
Gudrun Seidenauer,Österreich,Adnet,Leise Hände,eingeladen_von,27061999,19071965,w,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bp99/fs_autoren.html"
Vladimir Vertlib,Österreich,Salzburg,Innere Werte,eingeladen_von,27061999,02071966,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bp99/fs_autoren.html"
Monika Helfer,Österreich,Hohenems,Mein Mörder,eingeladen_von,27061999,18101947,w,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bp99/fs_autoren.html"
Thomas Jonigk,Österreich,Wien,Jupiter,eingeladen_von,27061999,04031966,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bp99/fs_autoren.html"
Terézia Mora,Deutschland,Berlin,Der Fall Ophelia,eingeladen_von,27061999,05021971,w,Freitag,True,True,"http://archiv.bachmannpreis.orf.at/bp99/fs_autoren.html"
Ruth Erat,Schweiz,Rheineck,Moosbrand,eingeladen_von,27061999,03081951,w,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bp99/fs_autoren.html"
Ursula Fricker,Deutschland,Berlin,Da sind schon ganz andere gescheitert,eingeladen_von,27061999,13111965,w,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bp99/fs_autoren.html"
Thor Kunkel,Deutschland,Amsterdam,Das Doppelleben der Amöbe,eingeladen_von,27061999,02091963,m,Freitag,True,True,"http://archiv.bachmannpreis.orf.at/bp99/fs_autoren.html"
Peter Stamm,Österreich,Zürich,Passion,eingeladen_von,27061999,18011963,m,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/bp99/fs_autoren.html"
Stefan Beuse,Deutschland,Hamburg,Verschlußzeit,eingeladen_von,27061999,31011967,m,Samstag,True,True,"http://archiv.bachmannpreis.orf.at/bp99/fs_autoren.html"
Aglaja Veteranyi,Schweiz,Zürich,Warum das Kind in der Polenta kocht,eingeladen_von,27061999,17051962,w,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/bp99/fs_autoren.html"
Christian Mähr,Österreich,Dornbirn,San Borondon,eingeladen_von,27061999,06021952,m,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/bp99/fs_autoren.html"
Michael Lentz,Deutschland,München,Das war für sie der schlimmste Traum,eingeladen_von,27061998,15051964,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1998/autoren_1998.htm"
Sibylle Severus,Schweiz,Zürich,Das Granitei,eingeladen_von,27061998,02081937,w,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1998/autoren_1998.htm"
Ralf Bönt,Deutschland,Berlin,Gold,eingeladen_von,27061998,01071963,m,Donnerstag,True,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1998/autoren_1998.htm"
Silvia Szymanski,Deutschland,Übach-Palenberg,Chemische Reinigung,eingeladen_von,27061998,07081958,w,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1998/autoren_1998.htm"
John von Düffel,Deutschland,Karlsruhe,Fliegenfischen,eingeladen_von,27061998,20101966,m,Donnerstag,True,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1998/autoren_1998.htm"
Tim Staffel,Deutschland,Berlin,Hüttenkäse,eingeladen_von,27061998,02101965,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1998/autoren_1998.htm"
Leander Scholz,Deutschland,Köln,Lucky und Hilal kehren nach dem Baden heim,eingeladen_von,27061998,16041969,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1998/autoren_1998.htm"
Kurt Bracharz,Österreich,Bregenz,Eine Schlangengeschichte oder Der Traum des Maltesers,eingeladen_von,27061998,28091947,m,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1998/autoren_1998.htm"
Margit Schreiner,Deutschland,Berlin,Die Tasche,eingeladen_von,27061998,22121953,w,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1998/autoren_1998.htm"
Kathrin Schmidt,Deutschland,Berlin,Die Gunnar-Lennefsen-Expedition,eingeladen_von,27061998,12031958,w,Freitag,True,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1998/autoren_1998.htm"
Sibylle Lewitscharoff,Deutschland,Berlin,Pong,eingeladen_von,27061998,16041954,w,Freitag,True,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1998/autoren_1998.htm"
Olivia Kleinknecht,Schweiz,Filzbach,Später Erfolg,eingeladen_von,27061998,21051960,w,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1998/autoren_1998.htm"
Inka Bach,Deutschland,Berlin,Von Fall zu Fall,eingeladen_von,27061998,27041956,w,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1998/autoren_1998.htm"
Christian Paul Berger,Österreich,Bregenz,Im Sommerwind,eingeladen_von,27061998,28071957,m,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1998/autoren_1998.htm"
Christian Futscher,Österreich,Wien,13 Meistererzählungen,eingeladen_von,27061998,m,19041960,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1998/autoren_1998.htm"
Jan Lurvink,Schweiz,Basel,Windladen,eingeladen_von,27061998,14101965,m,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1998/autoren_1998.htm"
Marcus Braun,land,Deutschland,Berlin,eingeladen_von,29061997,28111971,m,vorgetragen_am,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1997/autoren_1997.htm"
Gion Mathias Cavelty,land,Schweiz,Zürich,eingeladen_von,29061997,04041974,m,vorgetragen_am,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1997/autoren_1997.htm"
Leopold Federmair,Österreich,Wien,titel,eingeladen_von,29061997,25081957,m,vorgetragen_am,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1997/autoren_1997.htm"
Bettina Galvagni,Österreich,Wien,"Die letzte Ikone",eingeladen_von,29061997,26031976,w,vorgetragen_am,True,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1997/autoren_1997.htm"
Zoë Jenny,Schweiz,Basel,"Das Blütenstaubzimmer",eingeladen_von,29061997,16031974,w,vorgetragen_am,True,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1997/autoren_1997.htm"
Steffen Kopetzky,Deutschland,Berlin,"Einbruch und Wahn. Ein Versuch über die Umtriebe der Anderen",eingeladen_von,29061997,26011971,m,vorgetragen_am,True,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1997/autoren_1997.htm"
Tim Krohn,Schweiz,Zürich,titel,eingeladen_von,29061997,09021965,m,vorgetragen_am,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1997/autoren_1997.htm"
Gila Lustiger,Deutschland,Paris,titel,eingeladen_von,29061997,27041963,w,vorgetragen_am,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1997/autoren_1997.htm"
Thomas Meinecke,Deutschland,Eurasburg,titel,eingeladen_von,29061997,25081955,m,vorgetragen_am,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1997/autoren_1997.htm"
Norbert Niemann,Deutschland,Chieming,"Wie man's nimmt",eingeladen_von,29061997,20051961,m,vorgetragen_am,True,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1997/autoren_1997.htm"
Elisabeth Reichart,Österreich,Wien,titel,eingeladen_von,29061997,19111953,w,vorgetragen_am,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1997/autoren_1997.htm"
Wolfgang Schlüter,Deutschland,"Kerry (Irland)",titel,eingeladen_von,29061997,11121948,m,vorgetragen_am,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1997/autoren_1997.htm"
"Peter P. Schwaiger",Österreich,Klosterneuburg,titel,eingeladen_von,29061997,04021968,m,vorgetragen_am,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1997/autoren_1997.htm"
Bruno Steiger,Schweiz,Zürich,titel,eingeladen_von,29061997,03061946,m,vorgetragen_am,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1997/autoren_1997.htm"
Thorsten Tornow,Deutschland,"Niigata (Japan)",titel,eingeladen_von,29061997,01071963,m,vorgetragen_am,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1997/autoren_1997.htm"
Ulrich Zieger,Deutschland,Montpellier,titel,eingeladen_von,29061997,29121961,m,vorgetragen_am,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1997/autoren_1997.htm"
Kurt Aebli,Schweiz,Zürich,titel,eingeladen_von,30061996,20101955,m,vorgetragen_am,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1996/autoren_1996.htm"
Jürg Beeler,Schweiz,Zürich,titel,eingeladen_von,30061996,09061957,m,vorgetragen_am,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1996/autoren_1996.htm"
Jan Peter Bremer,Deutschland,Berlin,"Der Fürst spricht",eingeladen_von,30061996,16021965,m,vorgetragen_am,True,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1996/autoren_1996.htm"
Adelheid Dahimène,Österreich,"Obernberg/Inn",titel,eingeladen_von,30061996,02061956,w,vorgetragen_am,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1996/autoren_1996.htm"
Arno Geiger,Österreich,"Wolfurt, Wien",titel,eingeladen_von,30061996,22071968,m,vorgetragen_am,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1996/autoren_1996.htm"
Heiko Michael Hartmann,Deutschland,Berlin,"MOI",eingeladen_von,30061996,01071957,m,vorgetragen_am,True,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1996/autoren_1996.htm"
Peter Henning,Deutschland,"Frankfurt/Main",titel,eingeladen_von,30061996,01071959,m,vorgetragen_am,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1996/autoren_1996.htm"
Alban Nikolai Herbst,Deutschland,"Frankfurt/Main, Berlin",titel,eingeladen_von,30061996,07021955,m,vorgetragen_am,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1996/autoren_1996.htm"
Felicitas Hoppe,Deutschland,Berlin,"Das Richtfest",eingeladen_von,30061996,22121960,w,vorgetragen_am,True,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1996/autoren_1996.htm"
Johannes Jansen,Deutschland,wohnort,"Dickicht Anpassung",eingeladen_von,30061996,06011966,m,vorgetragen_am,True,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1996/autoren_1996.htm"
Andreas Mand,Deutschland,"Berlin, Bielefeld",titel,eingeladen_von,30061996,14121959,m,vorgetragen_am,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1996/autoren_1996.htm"
Herbert Maurer,Österreich,Wien,titel,eingeladen_von,30061996,12051965,m,vorgetragen_am,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1996/autoren_1996.htm"
Lydia Mischkulnig,Österreich,Wien,"Bande",eingeladen_von,30061996,02081963,w,vorgetragen_am,True,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1996/autoren_1996.htm"
Alex Muggler,Schweiz,Pully,titel,eingeladen_von,30061996,geburtsjahr,m,vorgetragen_am,False,False,"http://archiv.bachmannpreis.orf.at/25_jahre/1996/autoren_1996.htm"
Richard Obermayr,Österreich,Wien,titel,eingeladen_von,30061996,22081970,m,vorgetragen_am,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1996/autoren_1996.htm"
Sonja Röder,Deutschland,München,titel,eingeladen_von,30061996,30111964,w,vorgetragen_am,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1996/autoren_1996.htm"
Sonja Ruf,Deutschland,"Frankfurt/Main",titel,eingeladen_von,30061996,10041967,w,vorgetragen_am,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1996/autoren_1996.htm"
Ingo Schramm,Deutschland,Berlin,titel,eingeladen_von,30061996,25101962,m,vorgetragen_am,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1996/autoren_1996.htm"
Yoko Tawada,Japan,Hamburg,titel,eingeladen_von,30061996,23031960,w,vorgetragen_am,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1996/autoren_1996.htm"
Sissi Tax,Österreich,Berlin,titel,eingeladen_von,30061996,19091954,w,vorgetragen_am,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1996/autoren_1996.htm"
Josef Winkler,Österreich,Pogöriach,titel,eingeladen_von,30061996,03031953,m,vorgetragen_am,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1996/autoren_1996.htm"
Hansjörg Zauner,Österreich,Wien,titel,eingeladen_von,30061996,02121959,m,vorgetragen_am,False,True,"http://archiv.bachmannpreis.orf.at/25_jahre/1996/autoren_1996.htm"
Hanspeter Bundi,Schweiz,"Meikirch, Bern",titel,None,02071995,30011953,m,vorgetragen_am,False,True,webseite
Enrico Danieli,Schweiz,Zürich,titel,None,02071995,02091952,m,vorgetragen_am,False,True,webseite
Gundi Feyrer,Deutschland,Graz,"Mein Sehen",None,02071995,19041956,w,vorgetragen_am,True,True,webseite
Franzobel,Österreich,Wien,"Die Krautflut",None,02071995,01031967,m,vorgetragen_am,True,True,webseite
Evelyn Grill,Österreich,Freiburg,titel,None,02071995,15011942,w,vorgetragen_am,False,True,webseite
Klaus Händl,Österreich,"Wien, Berlin",titel,None,02071995,17091969,m,vorgetragen_am,False,True,webseite
Joachim Helfer,Deutschland,Hamburg,titel,None,02071995,26081964,m,vorgetragen_am,False,True,webseite
Reinhard Jirgl,Deutschland,Berlin,titel,None,02071995,16011953,m,vorgetragen_am,False,True,webseite
Volker Kaminski,Deutschland,Berlin,titel,None,02071995,14071958,m,vorgetragen_am,False,True,webseite
Radek Knapp,Österreich,Wien,titel,None,02071995,03081964,m,vorgetragen_am,False,True,webseite
Ulrike Kolb,Deutschland,"Frankfurt/Main","Danach",None,02071995,14071942,w,vorgetragen_am,True,True,webseite
Mariella Mehr,Schweiz,Tomils,titel,None,02071995,27121947,w,vorgetragen_am,False,True,webseite
Perikles Monioudis,Schweiz,"Zürich, Glarus",titel,None,02071995,08091966,m,vorgetragen_am,False,True,webseite
Petra Morsbach,Deutschland,"Pöcking (Obb.)",titel,None,02071995,01061956,w,vorgetragen_am,False,True,webseite
Andreas Neumeister,Deutschland,München,titel,None,02071995,16091959,m,vorgetragen_am,False,True,webseite
Georg Martin Oswald,Deutschland,München,titel,None,02071995,05081963,m,vorgetragen_am,False,True,webseite
Georg Pichler,Österreich,Graz,titel,None,02071995,30071959,m,vorgetragen_am,False,True,webseite
Ingo Schulze,Deutschland,Berlin,"33 Augenblicke des Glücks",None,02071995,15121962,m,vorgetragen_am,True,True,webseite
Marion Titze,Deutschland,Berlin,titel,None,02071995,23041953,w,vorgetragen_am,False,True,webseite
Ilija Trojanow,Deutschland,wohnort,"Die Welt ist groß und Rettung lauert überall",None,02071995,23081965,m,vorgetragen_am,True,True,webseite
Wolfgang Wenger,Österreich,"Adnet bei Salzburg",titel,None,02071995,18111962,m,vorgetragen_am,False,True,webseite
Monika Wogrolly,Österreich,Graz,titel,None,02071995,11081967,w,vorgetragen_am,False,True,webseite
Hans Ulrich Bänziger,Schweiz,"Maur bei Zürich",titel,None,27061994,30101938,m,vorgetragen_am,False,True,webseite
Bernd Cailloux,Deutschland,Berlin,titel,None,27061994,09071945,m,vorgetragen_am,False,True,webseite
Reto Hänny,Schweiz,Zürich,"Guai",None,27061994,13041947,m,vorgetragen_am,True,True,webseite
Josef Haslinger,Österreich,Wien,titel,None,27061994,05071955,m,vorgetragen_am,False,True,webseite
Paulus Hochgatterer,Österreich,Wien,titel,None,27061994,16071961,m,vorgetragen_am,False,True,webseite
Karina Kranhold,Deutschland,Marburg,titel,None,27061994,geburtsjahr,w,vorgetragen_am,False,False,webseite
Dagmar Leupold,Deutschland,"Eglharting bei München",titel,None,27061994,23101955,w,vorgetragen_am,False,True,webseite
Stefanie Menzinger,Deutschland,"Liebaja (Lettland)","Der Gärtner, der Kater und ich",None,27061994,24031965,w,vorgetragen_am,True,True,webseite
Klaus Modick,Deutschland,Wiefelstede,titel,None,27061994,03051951,m,vorgetragen_am,False,True,webseite
Sibylle Mulot,Deutschland,"Lure (Franche-Comté, Frankreich)",titel,None,27061994,03051950,w,vorgetragen_am,False,True,webseite
Heidi von Plato,Deutschland,Berlin,titel,None,27061994,01071954,w,vorgetragen_am,False,True,webseite
Doron Rabinovici,Österreich,Wien,"Mullemann",None,27061994,02121961,m,vorgetragen_am,True,True,webseite
Urs Richle,Schweiz,Genf,titel,None,27061994,24061965,m,vorgetragen_am,False,True,webseite
Katharina Riese,Österreich,Wien,titel,None,27061994,04051946,w,vorgetragen_am,False,True,webseite
Georg Ringsgwandl,Deutschland,Garmisch-Partenkirchen,titel,None,27061994,15111948,m,vorgetragen_am,False,True,webseite
Kathrin Röggla,Österreich,"Salzburg, Berlin",titel,None,27061994,14061971,w,vorgetragen_am,False,True,webseite
Raoul Schrott,Österreich,"Seillans (Frankreich)","Ludwig Höhnel – Totenheft",None,27061994,17011964,m,vorgetragen_am,True,True,webseite
Frank Schulz,Deutschland,Hamburg,titel,None,27061994,14021957,m,vorgetragen_am,False,True,webseite
Ruth Schweikert,Schweiz,Aarau,"Fünfzig Franken",None,27061994,15071965,w,vorgetragen_am,True,True,webseite
Andrea Simmen,Schweiz,Brütten,titel,None,27061994,15121960,w,vorgetragen_am,False,True,webseite
Bernd Wagner,Deutschland,Berlin,titel,None,27061994,30051948,m,vorgetragen_am,False,True,webseite
Andrea Worek,Österreich,Wien,titel,None,27061994,geburtsjahr,w,vorgetragen_am,False,False,webseite
Matthias Altenburg,Deutschland,"Frankfurt/Main",titel,None,27061993,01071958,m,vorgetragen_am,False,True,webseite
Dirk Brauns,Deutschland,Berlin,"Paradebeispiel",None,27061993,01071968,m,vorgetragen_am,True,True,webseite
Jan Peter Bremer,Deutschland,Berlin,"Der kurze Weg",None,27061993,16021965,m,vorgetragen_am,True,True,webseite
Kurt Drawert,Deutschland,Osterholz-Scharmbeck,"Haus ohne Menschen. Ein Zustand",None,27061993,15031956,m,vorgetragen_am,True,True,webseite
Susanne Geiger,Deutschland,"Tübingen, Frankfurt/Main",titel,None,27061993,13081964,w,vorgetragen_am,False,True,webseite
Sabine Gruber,Italien,Wien,titel,None,27061993,06081963,w,vorgetragen_am,False,True,webseite
Christina Günther,Deutschland,Wuppertal,titel,None,27061993,01071962,w,vorgetragen_am,False,True,webseite
Rudolf Habringer,Österreich,Walding,titel,None,27061993,13091960,m,vorgetragen_am,False,True,webseite
Hanna Johansen,Schweiz,Kilchberg,"Anderes Licht",None,27061993,17061939,w,vorgetragen_am,True,True,webseite
Reinhard Kaiser,Deutschland,"Frankfurt/Main",titel,None,27061993,07031950,m,vorgetragen_am,False,True,webseite
Sandra Kellein,Deutschland,Berlin,"Hochformat",None,27061993,01071958,w,vorgetragen_am,True,True,webseite
Michael Kleeberg,Deutschland,Paris,titel,None,27061993,24081959,m,vorgetragen_am,False,True,webseite
Bettina Klix,Deutschland,Berlin,titel,None,27061993,27031961,w,vorgetragen_am,False,True,webseite
Gabriele Kögl,Österreich,Wien,titel,None,27061993,16041960,w,vorgetragen_am,False,True,webseite
Helmut Krausser,Deutschland,Gilching,titel,None,27061993,11071964,m,vorgetragen_am,False,True,webseite
Ludwig Laher,Österreich,Salzburg,titel,None,27061993,11121955,m,vorgetragen_am,False,True,webseite
Thomas Lehr,Deutschland,Berlin,titel,None,27061993,22111957,m,vorgetragen_am,False,True,webseite
Dirk von Petersdorff,Deutschland,Kronshagen,titel,None,27061993,16031966,m,vorgetragen_am,False,True,webseite
Benjamin Stein,Deutschland,Berlin,titel,None,27061993,06061970,m,vorgetragen_am,False,True,webseite
Wilfried Steiner,Österreich,Salzburg,titel,None,27061993,18121960,m,vorgetragen_am,False,True,webseite
Hans-Ulrich Treichel,Deutschland,Berlin,titel,None,27061993,12081952,m,vorgetragen_am,False,True,webseite
Christina Viragh,Schweiz,Luzern,titel,None,27061993,23011953,w,vorgetragen_am,False,True,webseite
